Habitat,Environment,Tide,Replicate,Code,Activity,Number_bites,Substrate,nmax,,
Sand,Ambient,High,3,THAR,nat,NA,NA,1,,
Sand,Ambient,High,3,THAR,feed,1,Sand,1,,
Sand,Ambient,High,3,HTRI,nat,NA,NA,2,,
Sand,Ambient,High,3,HTRI,nat,NA,NA,2,,
Sand,Ambient,High,3,RACU,nat,NA,NA,2,,
Sand,Ambient,High,3,RACU,nat,NA,NA,2,,
Sand,Ambient,High,3,RACU,feed,1,Sand,2,,
Sand,Ambient,High,3,HTRI,nat,NA,NA,2,,
Sand,Ambient,High,3,RACU,nat,NA,NA,2,,
Sand,Ambient,High,3,RACU,feed,1,Sand,2,,
Sand,Ambient,High,3,HTRI,feed,2,Sand,2,,
Sand,Ambient,High,3,RACU,feed,2,Sand,2,,
Sand,Ambient,High,2,CCHL,nat,NA,NA,1,,
Sand,Ambient,High,2,CCHL,feed,2,Sand,1,,
Sand,Ambient,High,2,GANJ,nat,NA,NA,1,,
Sand,Ambient,High,2,MFLA,nat,NA,NA,1,,
Sand,Ambient,High,2,MFLA,feed,2,Sand,1,,
Sand,Ambient,High,2,GANJ,feed,2,Sand,1,,
Sand,Ambient,Low,2,CCHL,nat,NA,NA,1,,
Sand,Ambient,Low,2,GANJ,nat,NA,NA,1,,
Sand,Ambient,Low,2,ATRI,nat,NA,NA,1,,
Sand,Ambient,Low,2,CCHL,feed,1,Sand,1,,
Sand,Ambient,Low,2,RACU,nat,NA,NA,1,,
Sand,Ambient,Low,2,HLON,nat,NA,NA,1,,
Sand,Ambient,Low,2,GANJ,feed,5,Sand,1,,
Sand,Ambient,Low,3,RACU,nat,NA,NA,1,,
Sand,Ambient,Low,3,RACU,feed,8,Sand,1,,
Sand,Ambient,Low,3,ATRI,nat,NA,NA,3,,
Sand,Ambient,Low,3,ATRI,nat,NA,NA,3,,
Sand,Ambient,Low,3,ATRI,nat,NA,NA,3,,
Sand,Ambient,Low,3,CCHL,nat,NA,NA,1,,
Reef,Ambient,High,3,CLUN,nat,NA,NA,2,,
Reef,Ambient,High,3,CLUN,feed,1,plankton,1,,
Reef,Ambient,High,3,ACNI,nat,NA,NA,1,,
Reef,Ambient,High,3,AMEL,nat,NA,NA,2,,
Reef,Ambient,High,3,AMEL,feed,7,coral,2,,
Reef,Ambient,High,3,AMEL,nat,NA,NA,2,,
Reef,Ambient,High,3,GVAR,feed,3,coral,1,,
Reef,Ambient,High,3,GVAR,nat,NA,NA,1,,
Reef,Ambient,High,3,THAR,nat,NA,NA,1,,
Reef,Ambient,High,3,ACNI,feed,13,macroalgae,2,,
Reef,Ambient,High,3,ACNI,nat,NA,NA,2,,
Reef,Ambient,High,3,ASEX,nat,NA,NA,2,,
Reef,Ambient,High,3,CCIT,nat,NA,NA,2,,
Reef,Ambient,High,3,CCHL,nat,NA,NA,1,,
Reef,Ambient,High,3,RACU,nat,NA,NA,1,,
Reef,Ambient,High,3,RACU,feed,2,coral,1,,
Reef,Ambient,High,3,CHLU,nat,NA,NA,1,,
Reef,Ambient,High,3,SSPI,nat,NA,NA,1,,
Reef,Ambient,High,3,ACNI,nat,NA,NA,2,,
Reef,Ambient,High,3,ACNI,nat,NA,NA,2,,
Reef,Ambient,High,3,ZCOR,nat,NA,NA,4,,
Reef,Ambient,High,3,ZCOR,nat,NA,NA,4,,
Reef,Ambient,High,3,ZCOR,nat,NA,NA,4,,
Reef,Ambient,High,3,ZCOR,nat,NA,NA,4,,
