Replicate,Habitat,SGD,Tide,Day_Night,SamplingTime,TA,Salinity,pH
SandSGD1,Sand,SGD,Low,Day,8:00,2433.47347,36.46,8.17
SandSGD2,Sand,SGD,High,Day,8:00,2342.49529,36.02,8.16
SandSGD3,Sand,SGD,Low,Day,8:00,3667.9507,11.47,7.83
SandSGD1,Sand,SGD,Low,Night,20:00,2505.41393,36.4,8.17
SandSGD2,Sand,SGD,Low,Night,20:00,2366.485,36.61,8.18
SandSGD3,Sand,SGD,Low,Night,20:00,3331.81899,15.21,7.4
SandSGD1,Sand,SGD,High,Night,2:00,2333.90957,37.49,8.18
SandSGD2,Sand,SGD,High,Night,2:00,2383.51249,37.5,8.18
SandSGD3,Sand,SGD,High,Night,2:00,2341.66984,37.3,8.17
SandSGD1,Sand,SGD,High,Day,14:00,2293.20151,37.34,8.3
SandSGD2,Sand,SGD,High,Day,14:00,2300.12484,37.22,8.23
SandSGD3,Sand,SGD,High,Day,14:00,2356.8444,37.1,8.26
ReefSGD1,Reef,SGD,Low,Night,20:00,2300.21314,37.36,8.18
ReefSGD2,Reef,SGD,Low,Night,20:00,2375.31446,37.13,8.18
ReefSGD3,Reef,SGD,Low,Night,20:00,2423.47651,37.31,8.19
ReefSGD1,Reef,SGD,Low,Day,8:00,2393.78748,36.91,8.2
ReefSGD2,Reef,SGD,Low,Day,8:00,2385.7307,37.12,8.2
ReefSGD3,Reef,SGD,Low,Day,8:00,2348.88352,36.91,8.18
ReefSGD1,Reef,SGD,High,Day,14:00,2305.52384,37.55,8.21
ReefSGD2,Reef,SGD,High,Day,14:00,2364.83753,37.56,8.28
ReefSGD3,Reef,SGD,High,Day,14:00,2358.21511,37.49,8.3
ReefSGD1,Reef,SGD,High,Night,2:00,2361.1871,37.53,8.18
ReefSGD2,Reef,SGD,High,Night,2:00,2387.70999,37.54,8.17
ReefSGD3,Reef,SGD,High,Night,2:00,2342.8251,37.59,8.17
SandAmb1,Sand,Ambient,Low,Day,8:00,2309.23306,37.47,8.19
SandAmb2,Sand,Ambient,Low,Day,8:00,2298.63313,37.5,8.2
SandAmb3,Sand,Ambient,Low,Day,8:00,2377.07712,37.48,8.22
SandAmb1,Sand,Ambient,High,Day,14:00,2297.06757,37.42,8.2
SandAmb2,Sand,Ambient,High,Day,14:00,2370.01661,37.42,8.2
SandAmb3,Sand,Ambient,High,Day,14:00,2372.40083,37.5,8.29
SandAmb1,Sand,Ambient,Low,Night,20:00,2366.20398,37.42,8.21
SandAmb2,Sand,Ambient,Low,Night,20:00,2292.29682,37.39,8.21
SandAmb3,Sand,Ambient,Low,Night,20:00,2378.0565,37.51,8.21
SandAmb1,Sand,Ambient,High,Night,2:00,2379.25975,37.53,8.17
SandAmb2,Sand,Ambient,High,Night,2:00,2387.14799,37.51,8.17
SandAmb3,Sand,Ambient,High,Night,2:00,2388.69507,37.6,8.17
ReefAmb1,Reef,Ambient,High,Night,2:00,2377.018805,37.54,8.12
ReefAmb2,Reef,Ambient,High,Night,2:00,2381.970403,37.51,8.16
ReefAmb3,Reef,Ambient,High,Night,2:00,2310.504361,37.53,8.16
ReefAmb1,Reef,Ambient,Low,Day,8:00,2303.769825,37.48,8.23
ReefAmb2,Reef,Ambient,Low,Day,8:00,2294.688273,37.5,8.24
ReefAmb3,Reef,Ambient,Low,Day,8:00,2327.000075,37.5,8.23
ReefAmb1,Reef,Ambient,High,Day,14:00,2373.385247,37.55,8.22
ReefAmb2,Reef,Ambient,High,Day,14:00,2307.855496,37.53,8.21
ReefAmb3,Reef,Ambient,High,Day,14:00,2362.826958,37.52,8.26
ReefAmb1,Reef,Ambient,Low,Night,20:00,2293.516334,37.51,8.23
ReefAmb2,Reef,Ambient,Low,Night,20:00,2294.959149,37.52,8.24
ReefAmb3,Reef,Ambient,Low,Night,20:00,2310.006802,37.49,8.22
